0,Store ID,Gregorian Date,Hijri Date,Day,Greg. Month,Hijri Month,Location,Store Size,Parking,Mall,Work Hours,Cost/day,Promotion,Customer Base,Advertisements,Competition,Customers,Profit/day
0,fil-3401,2009-08-12 00:00:00,1430-08-21,Wednesday,August,Sha’ban,Center,Hyper,445,Yes,24 hrs,SAR 55058.0,Regular,290397,87119,10,1916,SAR 101081
1,fil-3402,2009-08-12 00:00:00,1430-08-21,Wednesday,,Sha’ban,Center,Hyper,640,No,18 hrs,SAR 38610.0,Grand,667405,333702,8,5145,SAR 278217
2,fil-3403,2009-08-12 00:00:00,1430-08-21,Wednesday,August,Sha’ban,Center,Grande,1995,No,18 hrs,SAR 648843.0,None,729725,0,6,9688,SAR 531597
3,fil-3404,2009-08-12 00:00:00,1430-08-21,Wednesday,Aug,Sha’ban,Border,Grande,3125,Yes,18 hrs,SAR 320317.0,None,488370,0,2,6619,SAR 358109
4,fil-3405,2009-08-12 00:00:00,1430-08-21,Wed,August,Sha’ban,Center,Hyper,925,Yes,12 hrs,SAR 16976.0,Regular,452525,181010,5,5588,SAR 315909
5,fil-3406,2009-08-12 00:00:00,1430-08-21,Wednesday,August,Sha’ban,Border,,1645,Yes,24 hrs,SAR 20744.0,None,236392,0,2,1976,SAR 98974
6,fil-3407,2009-08-12 00:00:00,1430-08-21,Wednesday,August,Sha’ban,Center,Hyper,870,Yes,12 hrs,SAR 12619.0,None,589460,0,10,6719,SAR 344556
7,fil-3408,2009-08-12 00:00:00,1430-08-21,Wednesday,August,Sha’ban,Outskirts,Regular,1535,No,12 hrs,SAR 1135.0,None,174218,0,1,1606,SAR 80317
8,fil-3409,2009-08-12 00:00:00,1430-08-21,Wednesday,August,Sha’ban,,Grande,3070,No,12 hrs,SAR 159816.0,None,650780,0,1,13994,SAR 587826
9,fil-3410,2009-08-12 00:00:00,1430-08-21,Wednesday,August,Sha’ban,Center,Regular,300,No,12 hrs,SAR 7298.0,Regular,343687,103106,5,3892,SAR 187762
10,fil-3411,2009-08-12 00:00:00,1430-08-21,,August,Sha’ban,Center,Hyper,760,Yes,24 hrs,SAR 78966.0,Regular,663033,265213,11,5171,SAR 309913
11,fil-3401,2009-08-13 00:00:00,1430-08-22,Thu,August,Sha’ban,Center,Hyper,445,Yes,24 hrs,SAR 48268.0,Regular,290397,87119,10,3310,SAR 174598
12,fil-3402,2009-08-13 00:00:00,1430-08-22,Thu,August,Sha’ban,Center,Hyper,640,No,18 hrs,SAR 37483.0,Regular,667405,400443,8,12125,SAR 634226
13,fil-3403,2009-08-13 00:00:00,1430-08-22,,August,Sha’ban,Center,Grande,1995,No,18 hrs,SAR 707238.0,Grand,729725,291890,6,7389,SAR 411825
14,fil-3404,2009-08-13 00:00:00,1430-08-22,Thursday,August,Sha’ban,Border,Grande,3125,Yes,18 hrs,SAR 330739.0,None,488370,0,2,7374,SAR 303512
15,fil-3405,2009-08-13 00:00:00,1430-08-22,Thursday,August,Sha’ban,Center,Hyper,925,Yes,12 hrs,SAR 16467.0,None,452525,0,5,2941,SAR 161317
16,fil-3406,2009-08-13 00:00:00,1430-08-22,Thursday,,Sha’ban,Border,Hyper,1645,Yes,24 hrs,SAR 23463.0,Regular,236392,141835,2,2662,SAR 131664
17,fil-3407,2009-08-13 00:00:00,1430-08-22,Thursday,August,Sha’ban,Center,Hyper,870,Yes,12 hrs,SAR 12282.0,None,589460,0,10,6719,SAR 340215
18,fil-3408,2009-08-13 00:00:00,1430-08-22,Thursday,August,Sha’ban,Outskirts,Regular,1535,No,12 hrs,SAR 1093.0,None,174218,0,1,1651,SAR 68844
19,fil-3409,2009-08-13 00:00:00,1430-08-22,Thu,August,Sha’ban,Border,Grande,3070,No,12 hrs,SAR 159056.0,None,650780,0,1,8546,SAR 382759
20,fil-3410,2009-08-13 00:00:00,1430-08-22,Thursday,August,Sha’ban,Center,Regular,300,No,12 hrs,SAR 6643.0,None,343687,0,5,4814,SAR 241357
21,fil-3411,2009-08-13 00:00:00,1430-08-22,Thursday,August,Sha’ban,Center,Hyper,760,Yes,24 hrs,SAR 80033.0,Regular,663033,331516,11,7956,SAR 424963
22,fil-3401,2009-08-14 00:00:00,1430-08-23,Friday,August,Sha’ban,Center,Hyper,445,Yes,24 hrs,SAR 40571.0,None,290397,0,10,3306,SAR 145831
23,fil-3402,2009-08-14 00:00:00,1430-08-23,Friday,August,Sha’ban,Center,Hyper,640,No,18 hrs,SAR 33209.0,Regular,667405,400443,8,8129,SAR 398785
24,fil-3403,2009-08-14 00:00:00,1430-08-23,,August,Sha’ban,Center,Grande,1995,No,18 hrs,SAR 796478.0,Regular,729725,291890,6,6269,SAR 331077
25,fil-3404,2009-08-14 00:00:00,1430-08-23,Fri,August,Sha’ban,Border,Grande,3125,Yes,18 hrs,SAR 272009.0,Grand,488370,244185,2,5706,SAR 276996
26,fil-3405,2009-08-14 00:00:00,1430-08-23,Friday,August,Sha’ban,Center,Hyper,925,Yes,12 hrs,SAR 15819.0,None,452525,0,5,7649,SAR 329579
27,fil-3406,2009-08-14 00:00:00,1430-08-23,Friday,,Sha’ban,Border,Hyper,1645,Yes,24 hrs,SAR 24113.0,None,236392,0,2,3502,SAR 154336
28,fil-3407,2009-08-14 00:00:00,1430-08-23,Friday,August,Sha’ban,Center,Hyper,870,Yes,12 hrs,SAR 11783.0,Regular,589460,176838,10,10864,SAR 627386
29,fil-3408,2009-08-14 00:00:00,1430-08-23,Friday,August,Sha’ban,Outskirts,,1535,No,12 hrs,SAR 1086.0,None,174218,0,1,3943,SAR 194857
30,fil-3409,2009-08-14 00:00:00,1430-08-23,Friday,August,Sha’ban,,Grande,3070,No,12 hrs,SAR 133511.0,None,650780,0,1,10747,SAR 503084
31,fil-3410,2009-08-14 00:00:00,1430-08-23,Friday,August,Sha’ban,Center,Regular,300,No,12 hrs,SAR 7276.0,None,343687,0,5,6585,SAR 352300
32,fil-3411,2009-08-14 00:00:00,1430-08-23,Friday,August,Sha’ban,Center,Hyper,760,Yes,24 hrs,SAR 83666.0,None,663033,0,11,10776,SAR 522686
33,fil-3401,2009-08-15 00:00:00,1430-08-24,Saturday,August,Sha’ban,Center,Hyper,445,Yes,24 hrs,SAR 50832.0,None,290397,0,10,4124,SAR 204718
34,fil-3402,2009-08-15 00:00:00,1430-08-24,Saturday,August,Sha’ban,Center,Hyper,640,No,18 hrs,SAR 33111.0,None,667405,0,8,8476,SAR 374578
35,fil-3403,2009-08-15 00:00:00,1430-08-24,,August,Sha’ban,Center,Grande,1995,No,18 hrs,SAR 821880.0,Regular,729725,364862,6,13007,SAR 602259
36,fil-3404,2009-08-15 00:00:00,1430-08-24,Saturday,August,Sha’ban,Border,Grande,3125,Yes,18 hrs,SAR 410577.0,Regular,488370,244185,2,10345,SAR 460938
37,fil-3405,2009-08-15 00:00:00,1430-08-24,Saturday,August,Sha’ban,Center,Hyper,925,Yes,12 hrs,SAR 17863.0,Grand,452525,271515,5,5871,SAR 310219
38,fil-3406,2009-08-15 00:00:00,1430-08-24,Saturday,August,Sha’ban,Border,Hyper,1645,Yes,24 hrs,SAR 24029.0,None,236392,0,2,3100,SAR 167297
39,fil-3407,2009-08-15 00:00:00,1430-08-24,Saturday,August,Sha’ban,Center,Hyper,870,Yes,12 hrs,SAR 10654.0,None,589460,0,10,6395,SAR 365317
40,fil-3408,2009-08-15 00:00:00,1430-08-24,Saturday,August,Sha’ban,Outskirts,,1535,No,12 hrs,SAR 1125.0,Regular,174218,69687,1,2295,SAR 107846
41,fil-3409,2009-08-15 00:00:00,1430-08-24,Sat,August,Sha’ban,Border,Grande,3070,No,12 hrs,SAR 142912.0,None,650780,0,1,11449,SAR 561364
42,fil-3410,2009-08-15 00:00:00,1430-08-24,Saturday,August,Sha’ban,Center,Regular,300,No,12 hrs,SAR 7188.0,None,343687,0,5,3292,SAR 182337
43,fil-3411,2009-08-15 00:00:00,1430-08-24,Saturday,August,Sha’ban,Center,Hyper,760,Yes,24 hrs,SAR 85403.0,None,663033,0,11,10498,SAR 553198
44,fil-3401,2009-08-16 00:00:00,1430-08-25,Sunday,August,Sha’ban,Center,Hyper,445,Yes,24 hrs,SAR 52710.0,None,290397,0,10,2090,SAR 93218
45,fil-3402,2009-08-16 00:00:00,1430-08-25,Sunday,August,Sha’ban,Center,Hyper,640,No,18 hrs,SAR 41189.0,None,667405,0,8,8382,SAR 485901
46,fil-3403,2009-08-16 00:00:00,1430-08-25,Sunday,,Sha’ban,Center,,1995,No,18 hrs,SAR 637367.0,None,729725,0,6,13520,SAR 730376
47,fil-3404,2009-08-16 00:00:00,1430-08-25,Sunday,August,Sha’ban,Border,,3125,Yes,18 hrs,SAR 348788.0,Regular,488370,146511,2,4907,SAR 196886
48,fil-3405,2009-08-16 00:00:00,1430-08-25,Sunday,August,Sha’ban,Center,Hyper,925,Yes,12 hrs,SAR 18076.0,Regular,452525,226262,5,4706,SAR 232682
49,fil-3406,2009-08-16 00:00:00,1430-08-25,,August,Sha’ban,Border,Hyper,1645,Yes,24 hrs,SAR 26447.0,Grand,236392,118196,2,3191,SAR 151582
50,fil-3407,2009-08-16 00:00:00,1430-08-25,Sunday,August,Sha’ban,Center,Hyper,870,Yes,12 hrs,SAR 12442.0,None,589460,0,10,4597,SAR 211579
51,fil-3408,2009-08-16 00:00:00,1430-08-25,Sunday,,Sha’ban,Outskirts,Regular,1535,No,12 hrs,SAR 1045.0,None,174218,0,1,2769,SAR 124762
52,fil-3409,2009-08-16 00:00:00,1430-08-25,Sunday,August,Sha’ban,Border,Grande,3070,No,12 hrs,SAR 140262.0,Regular,650780,325390,1,13257,SAR 638343
53,fil-3410,2009-08-16 00:00:00,1430-08-25,Sunday,August,Sha’ban,Center,Regular,300,No,12 hrs,SAR 9059.0,None,343687,0,5,6672,SAR 389465
54,fil-3411,2009-08-16 00:00:00,1430-08-25,Sunday,August,Sha’ban,Center,Hyper,760,Yes,24 hrs,SAR 80621.0,None,663033,0,11,5967,SAR 302513
55,fil-3401,2009-08-17 00:00:00,1430-08-26,,August,Sha’ban,Center,Hyper,445,Yes,24 hrs,SAR 43814.0,None,290397,0,10,2962,SAR 153343
